zip,private,uninsured,public,private_only,employment,employed_only,directpurchase,directpurchase_only,military,military_only,public_alone,medicare,medicare_alone,medicaid,medicaid_alone,va,va_only
99019,80.4,6.8,23.2,61.9,63.6,52.1,24.6,9.2,1.7,0.7,11.4,13.2,2.7,10.2,7.7,1.9,1
99020,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0
99021,72.8,11.9,28.1,57.1,60.5,50.1,12.8,5.6,5.4,1.4,13.8,16.6,4.5,11.6,8.8,3.8,0.5
99022,72.3,7.8,38.1,47.1,51.5,36.3,8.4,2.5,24.4,8.4,18,17,2.5,22.3,15.4,4.5,0.1
99023,70.7,6,30.9,58.8,59.3,48.9,8.9,6.3,7.9,3.6,21.7,5.6,1.3,26.9,20.3,0,0
99025,70.2,9,30.2,56.6,54.2,45.5,18.7,10.1,3.5,1,19.4,12.4,3.1,17.7,15.8,2.8,0.5
99026,78.1,7.5,27.4,60.9,66,54.7,11.9,5.1,6.3,1.1,12.9,14.4,2.8,13.2,9.5,3,0.5
99027,63.1,15.5,36.4,41.7,47.9,33.2,23.3,8,6.9,0.5,18,21.1,6.1,15,10.8,6.1,1
99029,64.6,20.3,26.1,52.9,53.6,45.4,8.9,3.2,5,4.3,14.5,12.4,1.4,14.4,12.5,1.3,0.6
99030,75.4,9.6,26.7,57.2,63.8,53.7,14.9,3.6,3.9,0,11.7,15.2,2.1,15.9,9.6,0.3,0
99031,60,11.7,42.6,36.6,44.7,32,21.1,4.6,5,0,28.1,16,4.2,27.7,23.9,2.5,0
99032,44.9,12.9,54.5,31.5,32.2,25.9,11.7,4.2,2.2,1.4,31.5,31.2,10.4,28.3,20.1,8.8,1
99033,55.4,16,40.8,40.4,44.5,36.5,9.4,2.1,5.6,1.9,23.6,24.8,9.3,17.1,13.7,5.2,0.7
99034,32.8,20.6,78.6,0.8,32.8,0.8,0,0,0,0,46.6,32.1,0,46.6,46.6,0,0
99036,88.9,3.2,20.8,74.3,73.3,64.6,16.4,8.9,4.5,0.7,7.7,12.4,3.2,8.9,4.5,1.6,0
99037,68.5,12.5,33.3,52.5,55.5,46.6,13.9,4.5,4.6,1.4,17.5,16.8,5.2,17.5,12,2.4,0.3
99039,83,4,30,55,48,35,46,20,0,0,10,23,3,12,7,2,0
99040,30.1,28.6,49.2,19.1,26.6,18.6,4,0.5,2.6,0,32.8,18.8,5.4,40.4,27.3,0.6,0
99101,39.8,13.6,59.2,23.8,28.8,17,13.1,6.1,4.1,0.8,41.2,17,3.5,42.9,36.1,6.9,1.6
99102,58.3,13.3,41.4,44.6,51.6,40.5,5.9,4.1,3.2,0,22.5,26.8,9.2,20.3,13.3,1.4,0
99103,79.7,4.2,41.8,51.7,53.8,41.6,30.8,10,0,0,14.2,29.5,3.8,14,10,3.3,0.4
99105,72,6,52,42,32,24,40,18,0,0,22,46,16,12,6,4,0
99109,56.1,14.8,46.9,36.3,41.3,31.4,13.5,3.9,6.2,1.1,22.7,26.9,6.4,24.2,15.2,6.6,1.1
99110,69.2,4.3,46.4,48.3,59.6,43.2,6.7,3.1,6.5,2.1,22,16,1.3,34.5,20.7,4.1,0
99111,72.4,5.9,39.8,52.7,58.6,45.2,15.6,5.9,4.2,1.5,18.9,19.9,5.4,22.2,13.3,3.2,0.1
99113,87.1,3.5,22.7,71.9,73.2,60.9,16.6,11,0.5,0,8,18.4,4.4,5.7,3.5,1.1,0
99114,60,12.9,46.3,37.4,46.6,33,16.5,4,2.5,0.4,22.1,25.2,5.3,25.5,15.8,4.3,0.9
99115,55.2,8.9,54.6,35.4,36.7,30.4,20.2,5,1.8,0,33.5,24.9,7.9,31.6,25.2,3.4,0.3
99116,56,16.8,43.4,38,49.1,33.8,10.5,3.2,2.9,1,24.4,17.5,2.5,27.1,21.4,4.5,0.6
99117,62,10,37.6,48.6,49.4,43.4,13.5,3.8,3,1.4,26.9,21.5,11.6,15.9,14.7,2.2,0.6
99118,46,26.5,41.3,32.2,34.6,27.8,12,4.1,2.6,0.4,23.3,21.4,5.3,21.9,16.9,6.4,1.1
99119,52.6,19.9,43.6,36.1,40.8,31.6,10.8,4,1.5,0.5,21.6,28.8,10.3,19.8,10.9,6,0.4
99121,76.3,13.1,27.5,57.5,63.8,45,14.4,12.5,0,0,8.1,2.5,0,25,8.1,2.5,0
99122,64.8,10.9,41.1,46.7,46.6,40.4,17.4,4.7,3.7,1.6,21.4,23.8,6.8,18.4,14.1,5.3,0.5
99123,78,6.9,37.4,52.8,72.9,50.7,8.2,2.1,0.6,0,12.9,28.9,8.5,9.6,4.1,3.5,0.2
99124,64.4,14.5,36.9,44.5,58.7,42,7.6,0.3,3.8,2.2,19.6,22.4,6.6,14.2,10.1,3.2,2.8
99125,74.7,8,34.5,57.1,53.1,42.7,23.8,14.4,0.8,0,14.6,25,8.8,11.6,5.8,2.6,0
99126,55.5,20.5,40.5,37.5,25.6,22.7,20.5,14.9,11,0,20.8,14.2,3.2,34.2,17.3,5,0.2
99128,75.3,10.9,30.7,58.2,57.9,50.5,18.5,7.3,1.9,0.3,9.8,19.3,3.5,14.9,6.3,4.3,0
99129,37.9,29.1,45.8,24.1,29.9,20.4,9.7,3.7,1.9,0,29.6,20.5,6.2,29.1,22.8,4.6,0.6
99130,69.9,12.1,37.8,48.1,51.9,39.4,21,8.4,1.4,0.3,13,25.5,3.6,15.7,9,5.5,0.4
99131,48.4,19.6,53.6,24.8,32,21.6,19.6,3.3,3.3,0,24.2,38.6,9.2,22.2,14.4,11.8,0.7
99133,46.8,24.5,41.5,32.9,38.2,28.9,11.3,3.4,2,0.5,23.2,26.1,8.3,21.2,14.9,2.8,0
99134,76.5,8,29.1,62.4,56.2,53.4,20.8,9,0,0,12,19,1.9,12.2,10.1,3.5,0
99135,83.8,4.2,26.9,64.2,43.8,38.1,43.8,26.2,2.7,0,11.9,16.9,3.1,10.4,8.8,0.8,0
99136,72.7,0,84.8,15.2,6.1,6.1,54.5,9.1,24.2,0,27.3,75.8,18.2,18.2,9.1,12.1,0
99137,60.4,7.3,56.3,32.9,40.8,29.4,25,3.5,1.3,0,25.9,38.6,10.8,19,15.2,6,0
99138,32.4,25.4,52.3,20.3,23.2,16.7,11.8,3.5,0.3,0,37.7,20.3,7.8,35.8,29.5,2.9,0.5
99139,61.4,14,40.9,44.5,46.8,40.7,15.2,3.4,1,0.4,22.1,19.3,6.4,20.9,13.9,5.5,1.8
99140,45,16.1,54.3,27.6,33.5,24.9,13.7,2.7,0,0,35,19.1,5.4,39.4,29.6,2,0
99141,61,13.5,46.8,39.6,44.5,35.3,15,3.4,3.4,0.8,20.5,26.1,4.5,23.6,15.4,5.4,0.7
99143,75.8,5.5,36.6,56.4,43.9,39.5,34.4,17,0.3,0,15.8,27.6,7.1,12.4,7.9,1.9,0.8
99144,91.9,0,8.1,91.9,21.6,21.6,70.3,70.3,0,0,8.1,8.1,8.1,0,0,0,0
99146,56.2,0,62.9,33.7,7.9,0,39.3,29.2,16.9,4.5,43.8,19.1,0,50.6,43.8,4.5,0
99147,71.3,5.2,57.4,34.8,56.5,34.8,20,0,2.6,0,23.5,53.9,20,6.1,3.5,1.7,0
99148,62.8,12.3,53.6,30.7,46.5,27.2,18.3,2.8,5.9,0.7,22.5,36.3,9.7,18.9,11.3,7.4,1.5
99149,56.1,4,63.6,31.2,42.8,29.5,14.5,1.7,3.5,0,35.8,41,16.2,30.1,18.5,5.2,1.2
99150,46.6,22.1,43.1,34.8,22.5,19.4,21.3,15.4,2.8,0,30,12.6,1.2,28.9,27.7,5.5,1.2
99151,44.4,13.1,66.7,20.3,24.8,19,10.5,1.3,9.2,0,31.4,40.5,7.2,34.6,22.9,7.8,1.3
99152,60,18.5,39.5,42.1,55.4,42.1,4.6,0,0,0,17.9,28.2,7.7,15.9,10.3,5.1,0
99153,44.3,15.8,69.1,15,23.5,13.7,16.6,1.1,10,0.3,26.1,56.7,14.5,27.4,11.6,1.6,0
99154,64.5,9.7,51.6,38.7,64.5,38.7,0,0,0,0,16.1,25.8,16.1,35.5,0,0,0
99155,19.3,33.9,49.8,16.3,17.2,15.3,2.2,0.8,0.6,0.2,40.9,10.3,3.6,44.8,37.4,1.3,0
99156,54.2,14.2,50.9,33.7,38,27.6,15.2,4.5,4.5,1.6,26,25,4.3,30,21.2,5.2,0.5
99157,50,16.6,53.6,29.2,35,26.4,15.4,2.9,0.6,0,29,28.3,4.9,29,23.4,5.2,0.7
99158,61.5,13.5,34.5,50.6,40.8,33.9,22.3,16.6,2.5,0,23.2,20,10.4,15.6,12.8,0.6,0
99159,67,10.4,37.4,48.3,50.7,39.9,17.1,7.8,3.5,0.6,20.5,24.8,9.9,15.1,10.4,1.7,0.2
99160,21.3,11,77.2,11.8,14.2,11.8,7.1,0,0,0,40.2,37.8,5.5,66.9,34.6,3.9,0
99161,75.1,6.1,35.1,58.2,56.3,47.1,20.4,10.9,0.8,0.2,16.6,19.9,4.5,17.5,12.1,1.6,0
99163,81.7,9.6,14.4,73.3,66.3,59.4,17,12.6,2.1,1.3,8,5.8,0.9,9.2,6.7,0.8,0.3
99164,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99166,49.9,12.8,50.5,36.2,35.3,32,13.4,3.6,2.7,0.7,30.9,27.9,9.9,27.2,19.7,5,1.3
99167,64.9,19.9,44.3,35.8,44,27.3,22,8.5,3.6,0,8.3,31.9,3.9,17,4.4,8.5,0
99169,68.2,12,31,54.5,52.3,43.9,19,10.6,0.9,0,18.1,16.8,5.4,17.1,12.7,1.8,0
99170,66.4,8,49.4,40.8,41.5,33.6,27.1,5.9,1.8,1.3,20.2,28.7,3.7,26,16,3.4,0.5
99171,76.7,6.3,38.7,53.2,54.6,46.1,24.7,7.2,0.4,0,14.1,26.1,6.2,16.5,7.6,2.1,0.3
99173,39.4,23.9,52,23.6,28,19.1,11.9,4,5.8,0.4,32.2,22.2,5.9,33.2,26.3,4.6,0
99174,57.4,4.9,52.5,42.6,52.5,37.7,4.9,4.9,0,0,34.4,37.7,19.7,16.4,13.1,1.6,1.6
99176,67.5,10.7,35.5,52.3,61.9,48.2,9.6,4.1,0,0,19.8,16.8,9.1,19.3,9.1,1.5,1.5
99179,86.1,4.8,25,67.2,68.5,57.9,16.7,9.3,3.8,0,8.3,17.7,3.3,6.8,4.5,2,0.5
99180,61,10.9,49.6,39.3,30.8,22,30.7,17.3,4.9,0,25.6,29.6,7.3,21.1,16.4,7.7,1.9
99181,49.7,17,51.9,30.3,30.2,23.4,17.3,5.8,4.8,1.1,30,21.1,5.8,30.6,24.2,4.9,0
99185,60.4,15.3,44.5,38.6,44,30.2,18,7,2.8,1.3,21,31.8,10.9,15.4,9.8,5.5,0.3
99201,40.6,19.4,47.7,32.3,32.2,27.8,8,3.7,2.4,0.8,32.2,17.1,3.2,37.9,28.3,3,0.7
99202,54.7,17.1,35.8,45.3,43.2,37.3,12.2,7.1,2.6,0.8,23.6,14.8,4.3,25.3,18.8,2.1,0.4
99203,82.8,6.1,25.6,67.3,64,54.2,15.6,8.6,7.3,4.5,10.2,18.7,5.3,8.2,4.6,2.4,0.3
99204,64.5,14.1,30.3,53.5,48.7,42.2,16.8,10.6,2.9,0.7,17.5,14.5,3.1,19.1,13.3,3.4,1.1
99205,61.3,14.1,38.1,45.9,50.2,40.8,11.2,3.8,4.8,1.4,21.4,16.3,4,24.2,16.9,3.4,0.5
99206,65.9,13.2,33.9,50.7,53.5,44.5,13.4,5.2,4.3,1,19.3,15.2,3.7,19.8,15,2.9,0.7
99207,44.4,17.8,46.9,34.4,35.1,29.1,10.1,4.7,1.7,0.6,33.6,14.5,4,35.6,29,2.7,0.6
99208,69.9,9.6,34,54.5,56.4,47,13.5,5.6,5.4,1.9,18.5,16.6,3.8,18.7,14.5,2.6,0.2
99212,61.8,15.5,36.1,46,50.1,39.9,14.5,5.5,2.3,0.5,19.5,17.5,3.7,21.6,15.2,2.8,0.6
99216,61.9,14.9,38.9,43.9,49.9,39,13.1,4.1,4.1,0.9,20.2,19.1,4,22.6,15.7,3.3,0.5
99217,60.3,13.2,39,45.9,50.3,41.3,10.8,3.7,3.4,0.9,23.5,18.4,5.3,23.8,17.7,2.5,0.4
99218,67.1,12.5,33.1,51.4,52.7,42.7,15.5,7.4,5.1,1.3,18.8,15.4,4,19.1,14.5,2.3,0.2
99223,75.4,9.4,28,60.2,61.6,52.3,14.6,6.3,5.9,1.5,13,18,4.6,12,8.1,2.7,0.3
99224,71.7,10.4,30.9,56.7,56.5,48.2,10.9,4.3,8.8,4.2,16.4,15,3.8,16.8,12,3.1,0.6
99301,53.6,19.6,34.7,42.9,47.1,39,9.4,3.5,1,0.4,25,8.7,2.2,27.6,22.8,1.3,0
99320,68.1,13.1,31,53,61.1,50,10.7,2.8,1.7,0.2,17.1,15.4,3.8,16.3,13,3.8,0.3
99321,8.9,64.4,26.6,2,8.9,2,7,0,0,0,26.6,0,0,26.6,26.6,0,0
99322,87.9,2.3,27,69.8,67,60,21.4,9.8,4.7,0,9.8,21.9,6,7,3.7,0.5,0
99323,75,8.3,28.6,62.6,66.1,58.6,8.8,3.9,1.3,0,10.3,15.7,1.5,18.9,8.8,1.9,0
99324,65.5,15.1,37.7,46,51.4,38.6,16.8,7.3,2.3,0.1,18.8,17.6,1.5,21.4,17.2,3.4,0.1
99326,52.1,16.9,38.9,37.9,41.8,30.9,17.7,7.1,0.9,0,29.9,7.9,2.3,31.7,27.5,1.4,0.1
99328,57.4,11.1,49.9,38.2,38.3,29,19.2,8.3,2.6,0.9,28,26.2,7.4,28.1,20.3,4.1,0.4
99329,61.5,13.5,46.9,39.6,45.3,34.9,16.1,4.7,0,0,19.8,28.6,1.6,32.3,15.6,3.6,2.6
99330,59.3,9.8,35.4,54.8,54.7,50.2,4.6,4.6,0,0,19.4,19.1,5.1,23.8,14.3,4,0
99333,92.1,0,26.3,73.7,55.3,55.3,36.8,18.4,0,0,0,26.3,0,7.9,0,0,0
99335,62,9.8,38.4,44.1,57.6,43.3,10.2,0.8,2,0,28.2,7.3,1.6,29,26.5,2.4,0
99336,53.3,19.6,39.8,38.8,46.2,36.2,9.1,2.2,2.4,0.3,25.2,13.1,2.7,28.5,22.2,2.2,0.3
99337,69.6,15.3,29.3,53.4,60.5,49.5,11.5,3.7,2.1,0.2,13.9,15.3,3.3,15.2,10.2,3.3,0.4
99338,79.2,9.2,20.5,67.8,69.2,60.9,13.5,6.7,1.7,0.2,11.2,10,3.4,10.1,7.7,1.5,0.1
99341,69.6,7.7,31.1,56.7,52.8,46.9,15.3,6.7,6.7,3.1,20.4,13.8,4.6,19.6,15.7,1.3,0
99343,28.9,35.1,41.1,23.6,23.5,20.1,5.5,3.5,1,0,35.7,3.9,1.2,37.2,34.6,1,0
99344,40.1,26.7,39.8,31.8,32.1,27.5,10.2,4.3,0.8,0,31.6,9.2,2.6,32.7,28.8,0.6,0.1
99345,49.5,29.2,30.7,38,34.9,31.8,17.7,6.3,0,0,21.4,11.5,2.1,20.3,19.3,1,0
99346,44.7,23.7,36.8,38.4,39,36.8,4.1,1.6,4.9,0,29.4,25.3,18,11.4,9.3,4.6,2.2
99347,64.4,10.3,46.3,42.2,43.2,33.8,22.9,8.4,0.9,0,21.9,27.9,5.4,21.4,16.5,5.2,0
99348,40,41.6,26.3,31.5,27.6,21.9,13.1,9.6,0.4,0,16.6,6.4,1,20.9,15.3,1.8,0.4
99349,21,35.4,47.7,16.3,14.7,12.4,6.2,3.6,0.9,0.3,42.9,5.2,1.8,43.7,41.1,1.7,0.1
99350,56.9,17.9,35.2,45.9,47.8,39.6,9.9,5.8,1,0.5,23.6,13.6,4.2,23.7,19.3,0.8,0.1
99352,79.5,8,26.5,63.1,68.5,57.4,13.4,5.2,3.3,0.4,10.9,17,2.9,11.2,7.9,2.5,0.2
99353,79,9.1,22.7,65.3,72.3,61.8,8.5,2.9,2.8,0.6,10.4,12.1,2.4,11.7,7.8,2.4,0.2
99354,73.2,10.4,31.3,55.5,64.2,50.4,11,3.6,2.9,1.5,14.6,16.1,2.7,16.6,11.6,1.6,0.4
99356,44.9,31.2,45.3,23.2,23.5,15.1,18.9,8.1,6.7,0,22.8,20.7,6,23.2,16.8,4.2,0
99357,25,42.7,34.6,22.7,19.2,17.7,6.6,4.5,0.5,0.5,31.6,3.6,0.7,31.7,30.9,0.1,0
99359,71,6.5,45.8,45.8,54.2,44.9,18.7,0.9,0,0,17.8,36.4,10.3,13.1,7.5,0.9,0
99360,78.5,13.2,23.7,59.4,57,47.1,23.6,11.6,2.6,0.7,7.1,15.4,2.2,8,4.7,3.1,0.1
99361,61.8,18.4,36.5,40.3,44.4,31.4,22.3,8.4,2.9,0.5,15.9,21.9,3.3,19.1,11.4,4,1.3
99362,65.6,13.9,36.7,47.1,51.5,39.3,17.6,7.5,2.2,0.3,17.2,18.7,3.5,20.2,12.9,4.4,0.8
99363,0,0,100,0,0,0,0,0,0,0,100,100,100,0,0,0,0
99371,66.2,8.2,42.3,47.5,54.9,44,12.4,3.6,2.7,0,19,26.6,5.5,24.2,13.5,3,0
99401,61.2,24.9,32.5,42.6,16.5,16.5,41.4,26.2,3.4,0,10.1,32.5,10.1,3.8,0,8,0
99402,63.3,14.4,35.3,49.6,44.7,38.7,13.6,7.6,6.1,3.4,19.9,18.3,4.2,19.2,14.9,2.6,0.8
99403,64,12.7,42.9,43,49.7,37.6,15.8,5.3,2.1,0.2,20.3,23.6,4.3,22.4,15.7,3.7,0.3
