zip,private,uninsured,public,private_only,employment,employed_only,directpurchase,directpurchase_only,military,military_only,public_alone,medicare,medicare_alone,medicaid,medicaid_alone,va,va_only
98587,28,31.5,47,20.1,26.1,19.2,3.4,0.9,0.3,0,34.4,16,8.9,36.8,25.3,0.9,0.2
98588,59.7,14.5,42.9,40.1,48.2,36.4,13.7,3.7,1.4,0,13.9,33.1,7.6,19.9,6.3,7.9,0
98589,70.3,14.5,29.9,53.9,58.6,48.3,11.9,5.2,4,0.5,13.9,12.2,3.4,18.9,10.3,2.2,0.2
98590,53,22.9,44.4,26.2,48.1,26.2,16.7,0,0,0,22.5,26.6,6.5,20.8,16,0,0
98591,66.3,9,48,41.4,42,34.5,28.2,6.9,0.7,0,20.7,30.5,6,19.2,14.7,3.3,0
98592,78.5,13.1,52.3,34.6,54,29.8,24.6,4.8,5,0,5.7,49.2,5.7,7.4,0,4.7,0
98593,59.3,6.8,51.3,41.6,47.7,39.2,15,2.4,0.5,0,29.6,28.7,10.2,24.1,19.4,3.5,0
98595,46.8,15.6,49.2,33.3,33.1,26.3,13,6.8,3.4,0.2,33.3,21.5,8.6,28.7,22.7,4.4,2.1
98596,53.7,15.7,46.3,36.1,42.3,30.8,13.2,5,1.4,0.3,27.6,17.7,5.5,30.2,22.1,2.9,0
98597,71.9,10.2,31.5,51.9,47.4,32.7,10,4.5,25,14.6,15.8,13.6,2.9,17.5,12.2,4.9,0.7
98601,70.6,8.4,34.6,55.6,64.2,53.1,9.5,2.5,0.2,0,20.2,16.6,5.6,16.6,14.5,2.4,0.2
98602,57.3,0,72.9,27.1,16.7,16.7,40.6,10.4,0,0,42.7,37.5,7.3,35.4,35.4,10.4,0
98603,57.1,11.3,49.8,38.8,43.7,30.3,13.3,8.5,0,0,26.1,15.1,2.3,32.1,23.8,8.1,0
98604,72.9,10.7,28.1,59.6,59.8,51.6,13.7,7,2.5,0.9,15,13.6,4,15.4,10.5,2.1,0.5
98605,55.8,19.3,38.5,40.9,48,38.1,9.9,2.8,0.8,0,22.4,11.5,2.5,29.9,19.9,0.8,0
98606,80.1,6.7,29.1,62.2,69.9,56.4,11.8,5.4,2.1,0.4,12.1,15,3.5,13.8,7.9,2.3,0.6
98607,82.5,7.1,21.5,68.6,69.7,59.7,15.8,8.2,1.5,0.7,9.5,11.4,3.1,10.6,6.3,2,0.1
98610,63.5,13,35.1,49,47.3,38.6,17.3,9.6,3.3,0.7,19.8,19.6,5,18.4,14.1,3,0.7
98611,69.9,11,35,53.5,58.2,48.6,14.5,4.9,1.6,0,17.5,21,5.7,16.9,11.7,3,0.2
