cost,costval,quality,incomeval,income,insured,adjudicated_location_id,description,procedure_code,no_procedures
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9798,112.84,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9699,105.87,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9694,105.4,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9692,104.925,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9692,104.925,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9658,103.98,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9581,95.322,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
