avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
119.5575,0.4862,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
119.5575,0.4862,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
119.5575,0.4862,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
119.5575,0.4862,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
163.453333,0.6195,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
