avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description,procedure_code
309.85,0.847,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
214.88,0.7116,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
280.53,0.7883,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
280.53,0.7883,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
280.53,0.7883,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
280.53,0.7883,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
31.36,0.1622,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
31.36,0.1622,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
31.36,0.1622,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
31.36,0.1622,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
66.7408,0.2517,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
66.7408,0.2517,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
66.7408,0.2517,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
66.7408,0.2517,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
