GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
8600000US98103,98103,ZCTA5 98103,22736,449,99938,3827,47559,1305,48860,1994
8600000US98104,98104,ZCTA5 98104,7038,246,57490,4454,13177,759,32613,2908
8600000US98105,98105,ZCTA5 98105,15190,453,88071,5785,44981,1866,31248,2173
8600000US98106,98106,ZCTA5 98106,10002,347,68057,3713,25023,1187,28047,1731
8600000US98107,98107,ZCTA5 98107,11829,379,88860,6194,22772,900,46794,2635
8600000US98108,98108,ZCTA5 98108,7886,271,70088,4029,24220,1346,24098,1660
8600000US98109,98109,ZCTA5 98109,13043,577,101209,5736,22401,1236,60019,3314
8600000US98110,98110,ZCTA5 98110,9404,253,132572,11266,23206,59,54404,4582
8600000US98112,98112,ZCTA5 98112,10395,397,151533,9921,22290,866,71540,4311
8600000US98115,98115,ZCTA5 98115,20694,388,112272,4010,48558,1282,48780,1687
8600000US98116,98116,ZCTA5 98116,11398,356,106456,13169,23780,1148,51774,5563
8600000US98117,98117,ZCTA5 98117,13588,362,105324,3466,31778,1116,45900,1572
8600000US98118,98118,ZCTA5 98118,15804,392,73951,3320,44440,1375,27319,1375
8600000US98119,98119,ZCTA5 98119,11390,390,120856,9069,23506,985,59680,4370
8600000US98121,98121,ZCTA5 98121,8887,424,91764,9052,12753,746,64451,5892
8600000US98122,98122,ZCTA5 98122,16183,516,89153,7350,34054,1255,44131,3669
8600000US98125,98125,ZCTA5 98125,17540,428,73878,3972,37560,989,35321,1956
8600000US98126,98126,ZCTA5 98126,9349,349,90734,6165,21648,897,40244,2739
8600000US98133,98133,ZCTA5 98133,20489,514,66389,2635,46227,1529,30597,1261
8600000US98134,98134,ZCTA5 98134,222,44,44136,7727,850,324,17649,5681
8600000US98136,98136,ZCTA5 98136,7111,258,105885,7048,15302,701,49937,3489
8600000US98144,98144,ZCTA5 98144,12033,342,84061,5540,27496,1255,38039,2569
8600000US98146,98146,ZCTA5 98146,9388,312,76487,4591,25722,1047,28778,1581
8600000US98148,98148,ZCTA5 98148,4135,203,58501,3759,10207,743,24443,1996
8600000US98154,98154,ZCTA5 98154,0,12,-,**,0,12,-,**
8600000US98155,98155,ZCTA5 98155,13276,329,92296,4453,33850,809,37422,1605
8600000US98158,98158,ZCTA5 98158,0,12,-,**,0,12,-,**
8600000US98164,98164,ZCTA5 98164,47,25,62132,33842,73,51,40637,17367
8600000US98166,98166,ZCTA5 98166,8596,314,90032,4548,21187,837,36973,2496
8600000US98168,98168,ZCTA5 98168,11532,384,61030,3091,33604,1295,21730,1065
8600000US98174,98174,ZCTA5 98174,0,12,-,**,72,166,4274,6145
8600000US98177,98177,ZCTA5 98177,7628,287,124399,8335,18867,915,51374,3281
8600000US98178,98178,ZCTA5 98178,8583,319,74494,5765,23866,1300,27831,2319
8600000US98188,98188,ZCTA5 98188,9712,410,52971,2787,24373,1181,21796,1336
8600000US98195,98195,ZCTA5 98195,0,12,-,**,39,35,9331,3146
8600000US98198,98198,ZCTA5 98198,12876,513,70061,3860,35748,949,26405,1668
8600000US98199,98199,ZCTA5 98199,9122,289,123642,7742,20548,859,55688,3831
8600000US98201,98201,ZCTA5 98201,12418,363,55582,2327,28380,879,25654,1078
8600000US98203,98203,ZCTA5 98203,13244,428,74204,3084,34901,1060,29048,1387
8600000US98204,98204,ZCTA5 98204,16139,460,53210,2356,41337,1879,21621,1043
8600000US98205,98205,ZCTA5 98205,4251,274,83150,4561,11957,785,30243,2046
8600000US98207,98207,ZCTA5 98207,0,12,-,**,1173,290,26414,3455
8600000US98208,98208,ZCTA5 98208,19249,502,82089,2546,53600,1734,30423,1142
8600000US98220,98220,ZCTA5 98220,281,130,60417,25919,733,383,22980,9450
8600000US98221,98221,ZCTA5 98221,9026,167,76673,1812,20466,195,34780,935
8600000US98222,98222,ZCTA5 98222,34,13,94426,37684,53,18,59183,24074
8600000US98223,98223,ZCTA5 98223,14796,416,77055,2906,41037,1065,28522,1036
8600000US98224,98224,ZCTA5 98224,162,44,37054,10421,261,80,23048,5876
8600000US98225,98225,ZCTA5 98225,19242,591,54399,2711,47032,1366,23360,1110
8600000US98226,98226,ZCTA5 98226,16275,586,67702,3058,41445,1702,27373,1130
8600000US98229,98229,ZCTA5 98229,12588,485,75010,3850,31522,1533,31160,1922
8600000US98230,98230,ZCTA5 98230,6719,381,73863,6415,16080,772,31502,3065
8600000US98232,98232,ZCTA5 98232,1511,159,85671,10562,3568,427,36910,4195
8600000US98233,98233,ZCTA5 98233,5468,278,65275,3861,14429,654,25546,1492
8600000US98235,98235,ZCTA5 98235,22,25,N,N,46,57,8643,7237
8600000US98236,98236,ZCTA5 98236,2610,161,81157,8790,5840,475,36655,3859
8600000US98237,98237,ZCTA5 98237,1548,138,56182,4800,4106,428,22009,1853
8600000US98238,98238,ZCTA5 98238,6,9,N,N,12,18,N,N
8600000US98239,98239,ZCTA5 98239,3034,190,82334,13473,7020,547,36096,5936
8600000US98240,98240,ZCTA5 98240,1046,205,69614,8933,2862,772,25739,4406
8600000US98241,98241,ZCTA5 98241,865,100,83499,45908,2173,299,34285,18797
8600000US98243,98243,ZCTA5 98243,203,48,101813,22220,406,101,50227,12039
8600000US98244,98244,ZCTA5 98244,1200,209,60530,10440,2912,627,25907,4433
8600000US98245,98245,ZCTA5 98245,1859,101,67657,7445,3746,204,34406,3470
8600000US98247,98247,ZCTA5 98247,3311,276,87534,24298,10458,1130,27481,6662
8600000US98248,98248,ZCTA5 98248,8272,336,65230,3064,22741,984,24268,1201
8600000US98249,98249,ZCTA5 98249,2069,222,87892,16442,4435,564,41255,7094
8600000US98250,98250,ZCTA5 98250,3599,124,86480,6612,7771,232,40091,2875
8600000US98251,98251,ZCTA5 98251,1750,128,71445,6507,4737,428,27188,2481
8600000US98252,98252,ZCTA5 98252,3440,322,78037,6743,9167,786,29990,2737
8600000US98253,98253,ZCTA5 98253,928,167,77253,16916,1776,349,40927,8582
