zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98238,6,6,-,**,N,N,#VALUE!,,,
98239,3034,2176,61429,7334,82334,13473,35.90,,,
98240,1046,863,59615,8459,69614,8933,35.23,,,
98241,865,545,39087,10697,83499,45908,25.49,,,
98243,203,135,63125,67814,101813,22220,36.51,,,
98244,1200,825,44911,13526,60530,10440,28.65,,,
98245,1859,1068,45063,3066,67657,7445,28.73,,,
98247,3311,2539,59852,4741,87534,24298,35.32,,,
98248,8272,6271,59369,7211,65230,3064,35.13,,,
98249,2069,1408,60153,6162,87892,16442,35.43,,,
98250,3599,2251,61116,1873,86480,6612,35.79,,,
98251,1750,1117,67012,14984,71445,6507,37.81,,,
98252,3440,2266,68958,10040,78037,6743,38.41,,,
98253,928,628,63971,18402,77253,16916,36.80,,,
98255,76,45,27500,19715,37770,10432,18.18,,,
98256,261,129,41250,21940,48568,12498,26.70,,,
98257,1749,1148,53650,4628,65164,3361,32.80,,,
98258,10861,8149,77616,3101,86300,3373,40.71,,,
98260,2457,1623,63650,6654,84726,9702,36.69,,,
98261,1248,816,49052,5984,68855,4213,30.71,,,
98262,508,317,67813,14287,68495,9198,38.06,,,
98263,27,19,34125,64556,56437,26949,22.53,,,
98264,6692,4894,59354,2938,68254,3704,35.13,,,
98266,1369,922,42847,6907,51952,8425,27.57,,,
98267,262,156,28125,18407,39310,13898,18.61,,,
98270,17006,11833,64644,3549,73510,2659,37.03,,,
98271,9818,7284,65907,2569,76221,2518,37.45,,,
98272,8650,6715,80113,4517,88833,3776,41.26,,,
98273,10467,7309,49945,2256,64104,3690,31.13,,,
98274,6364,4526,57756,4180,76251,6720,34.51,,,
98275,7975,5663,89942,7730,112877,6103,42.98,,,
98276,173,164,67454,13443,65927,7480,37.95,,,
98277,15437,10315,53792,2090,65997,3861,32.86,,,
98278,0,0,-,**,-,**,#VALUE!,,,
98279,305,192,51125,10800,73317,10140,31.68,,,
98280,180,134,82857,40766,135301,53197,41.81,,,
98281,663,364,50133,9940,71879,18734,31.22,,,
98282,6285,4648,66890,3831,78729,3601,37.77,,,
98283,201,86,30298,28408,45235,17492,20.07,,,
98284,9174,6347,56114,5264,68254,4945,33.84,,,
98286,89,69,59375,26877,84829,17311,35.14,,,
98288,76,45,30000,19191,59033,20954,19.87,,,
98290,11905,8792,76569,3101,91033,3538,40.46,,,
98292,7996,6062,73511,4526,81627,4252,39.69,,,
98294,2472,1655,54098,5740,59190,4753,32.99,,,
98295,849,692,61625,17424,67878,7928,35.98,,,
98296,9588,8028,108793,6468,124190,7207,44.40,,,
98297,38,24,34583,6398,35816,9626,22.81,,,
98303,483,341,45694,17894,73878,20193,29.06,,,
98304,289,87,36701,9633,45425,11384,24.09,,,
98305,142,49,38333,23268,43915,20637,25.05,,,
98310,8514,4490,46017,2945,55986,2330,29.22,,,
98311,10191,6937,68056,4553,76732,3875,38.13,,,
98312,12362,7850,56036,2810,68453,2973,33.81,,,
98314,25,25,150729,29908,150592,24868,40.26,,,
98315,1321,1291,45707,5394,50735,5422,29.06,,,
98320,607,344,39911,9959,48799,7652,25.96,,,
98321,4958,3800,72098,7776,81348,4314,39.31,,,
98323,231,141,56528,12812,56775,6490,34.01,,,
98325,675,557,58125,28281,76151,14106,34.65,,,
98326,204,109,13667,13023,30363,11427,7.60,,,
98327,3141,2270,81329,8836,92632,7594,41.51,,,
98328,3740,2458,61250,7182,71830,5221,35.84,,,
98329,3944,2968,68170,5129,81859,5743,38.17,,,
98330,94,20,7891,81232,52760,93439,2.55,,,
98331,2381,1433,38054,6203,48425,5514,24.89,,,
98332,5936,4472,83790,5751,118319,12128,41.99,,,
98333,1355,1028,95487,10445,120612,17549,43.65,,,
98335,9683,6903,78044,6546,109884,7618,40.81,,,
98336,373,195,34205,9847,36396,6094,22.58,,,
