zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
99128,122,95,75833,23858,84058,13963,40.28,,,
99129,337,245,31625,12626,48015,9623,20.94,,,
99130,339,213,46583,10578,55397,5204,29.50,,,
99131,77,48,41750,15502,49701,11028,26.98,,,
99133,701,409,34432,13171,49167,8172,22.72,,,
99134,252,187,63750,32535,74060,12078,36.73,,,
99135,107,74,62083,29260,83380,31610,36.14,,,
99136,18,9,32500,48411,46083,26441,21.50,,,
99137,148,88,38636,13889,42964,7806,25.23,,,
99138,464,293,25795,4508,35688,4718,16.99,,,
99139,539,390,47788,7486,53593,9420,30.10,,,
99140,150,95,24792,15049,40526,7675,16.27,,,
99141,2237,1516,44243,7369,49236,3352,28.31,,,
99143,296,187,40357,4848,52236,8414,26.21,,,
99144,20,10,"2,500-",***,46010,44794,#VALUE!,,,
99146,25,19,60521,21132,58716,26509,35.57,,,
99147,68,40,52500,21162,60257,18433,32.29,,,
99148,932,642,48125,4078,59751,7141,30.26,,,
99149,90,54,33864,4043,38209,11135,22.36,,,
99150,93,63,28750,24987,40838,14313,19.03,,,
99151,72,35,30625,12417,35778,9664,20.29,,,
99152,94,40,54861,9806,66404,15193,33.32,,,
99153,225,131,33375,7810,48253,11959,22.06,,,
99154,13,13,117917,114015,86700,28485,44.28,,,
99155,337,219,22422,5662,32661,6031,14.54,,,
99156,3533,2360,37309,5282,46847,3227,24.45,,,
99157,358,261,24306,5159,41280,11949,15.92,,,
99158,275,207,46806,5834,57091,7860,29.61,,,
99159,599,401,48750,9191,67595,11241,30.56,,,
99160,71,25,14750,8731,18846,8504,8.50,,,
99161,577,398,57904,6259,65841,5705,34.56,,,
99163,11196,4589,26116,2082,52537,3275,17.21,,,
99164,0,0,-,**,-,**,#VALUE!,,,
99166,1504,1020,40450,3940,51598,7142,26.26,,,
99167,284,218,45139,8724,49288,7484,28.77,,,
99169,1121,694,46523,6009,58198,5844,29.47,,,
99170,455,269,42629,5410,52259,6277,27.45,,,
99171,488,258,42593,6472,55177,10786,27.43,,,
99173,593,410,35762,5109,43670,5500,23.53,,,
99174,30,20,36667,62642,52040,23093,24.07,,,
99176,79,71,53125,8457,57614,16507,32.57,,,
99179,243,176,64917,13343,68164,5340,37.12,,,
99180,432,298,40203,12766,47203,7897,26.12,,,
99181,764,521,31375,6297,38329,5460,20.78,,,
99185,537,328,41964,4482,58716,9307,27.09,,,
99201,6628,2338,23659,1983,37896,4029,15.45,,,
99202,7034,3455,34180,2556,44741,2857,22.56,,,
99203,8966,5668,67367,3631,86396,4324,37.92,,,
99204,3639,1204,29483,4901,47680,6367,19.53,,,
99205,17476,10413,45544,2012,52559,1987,28.98,,,
99206,14406,9710,52057,2336,62873,2298,32.10,,,
99207,11941,6994,33235,2106,42698,2977,21.97,,,
99208,19622,13459,54446,3529,70227,2622,33.14,,,
99212,7997,5086,51687,4007,62707,4432,31.93,,,
99216,10048,6234,45768,2562,55280,3363,29.09,,,
99217,7195,4527,49731,5118,59266,3686,31.03,,,
99218,5719,3624,49521,4489,61140,4141,30.93,,,
99223,12849,8270,62647,2998,86750,5413,36.34,,,
99224,8246,5508,57706,4255,80733,6573,34.49,,,
99301,21598,16572,57533,2689,65950,2428,34.42,,,
99320,3312,2492,63005,4350,68935,4602,36.47,,,
99321,138,125,58300,45623,56758,19870,34.72,,,
99322,78,65,56250,21503,60326,13771,33.90,,,
99323,1205,996,75046,11542,82073,8166,40.09,,,
99324,3577,2088,43639,3014,51911,4629,27.99,,,
99326,1345,1076,54250,7388,60257,7964,33.06,,,
99328,1568,1034,39481,5218,54081,6147,25.71,,,
99329,82,50,50417,34662,54133,15772,31.35,,,
99330,255,167,46705,22981,60973,16342,29.56,,,
99333,18,11,26250,41832,40289,14606,17.31,,,
99335,96,55,40000,16559,50205,14458,26.01,,,
99336,18090,11192,42043,2303,58072,3354,27.14,,,
99337,10476,7729,66201,6484,78689,4504,37.55,,,
99338,4340,3631,93475,9959,104974,7221,43.43,,,
99341,277,224,57083,12733,63828,9446,34.24,,,
99343,763,678,52384,4091,68469,13500,32.24,,,
99344,4837,3975,43358,4419,53457,3610,27.84,,,
99345,69,54,55139,4683,106726,59547,33.44,,,
99346,167,72,34659,10266,46329,16804,22.86,,,
99347,951,675,51189,3940,58125,4719,31.70,,,
99348,488,345,39865,7044,48230,5501,25.93,,,
99349,1829,1579,47428,4800,52923,5560,29.92,,,
99350,4672,3511,57882,6190,65654,5116,34.56,,,
99352,11375,7621,76336,6706,97768,7095,40.41,,,
99353,5001,3879,80164,5705,91277,5433,41.27,,,
99354,9008,5860,61961,3488,79395,3329,36.10,,,
99356,100,85,26250,18946,39843,16381,17.31,,,
99357,931,812,36573,6128,47339,6741,24.02,,,
99359,57,37,34712,9488,62133,39893,22.89,,,
99360,459,352,65208,19506,81687,13907,37.22,,,
99361,665,463,48194,9029,64115,9386,30.30,,,
99362,15247,9379,47782,2337,63689,3500,30.10,,,
99371,170,108,53000,19836,64989,18404,32.52,,,
99401,133,78,62396,48113,90427,58686,36.25,,,
99402,700,580,53438,5662,66832,11586,32.71,,,
99403,8594,5277,41993,2542,55598,3807,27.11,,,
