ZIP,Mean Income 
99167,49288
99169,58198
99170,52259
99171,55177
99173,43670
99174,52040
99176,57614
99179,68164
99180,47203
99181,38329
99185,58716
99201,37896
99202,44741
99203,86396
99204,47680
99205,52559
99206,62873
99207,42698
99208,70227
99212,62707
99216,55280
99217,59266
99218,61140
99223,86750
99224,80733
99301,65950
99320,68935
99321,56758
99322,60326
99323,82073
99324,51911
99326,60257
99328,54081
99329,54133
99330,60973
99333,40289
99335,50205
99336,58072
99337,78689
99338,104974
99341,63828
99343,68469
99344,53457
99345,106726
99346,46329
99347,58125
99348,48230
99349,52923
99350,65654
99352,97768
99353,91277
99354,79395
99356,39843
99357,47339
99359,62133
99360,81687
99361,64115
99362,63689
99363,N
99371,64989
99401,90427
99402,66832
99403,55598
