Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US07006,7006,ZCTA5 07006,9363,256,100884,6638
8600000US07008,7008,ZCTA5 07008,7664,297,64294,4488
8600000US07009,7009,ZCTA5 07009,4214,192,103384,8389
8600000US07010,7010,ZCTA5 07010,10682,360,56171,8171
8600000US07011,7011,ZCTA5 07011,12271,396,58433,3657
8600000US07012,7012,ZCTA5 07012,4691,282,80995,14192
8600000US07013,7013,ZCTA5 07013,9744,395,79469,2454
8600000US07014,7014,ZCTA5 07014,1771,126,89519,21097
8600000US07016,7016,ZCTA5 07016,8345,200,116276,6096
8600000US07017,7017,ZCTA5 07017,14163,424,36299,1993
8600000US07018,7018,ZCTA5 07018,11481,386,38142,2534
8600000US07020,7020,ZCTA5 07020,5744,318,99609,9985
8600000US07021,7021,ZCTA5 07021,714,51,173800,9551
8600000US07022,7022,ZCTA5 07022,5263,405,51990,6777
8600000US07023,7023,ZCTA5 07023,2521,123,123003,8023
8600000US07024,7024,ZCTA5 07024,16570,401,67335,4924
8600000US07026,7026,ZCTA5 07026,10698,279,46446,3635
8600000US07027,7027,ZCTA5 07027,1641,132,76513,14900
8600000US07028,7028,ZCTA5 07028,2448,106,168352,18828
8600000US07029,7029,ZCTA5 07029,5932,225,53711,4352
8600000US07030,7030,ZCTA5 07030,24330,529,106875,3864
8600000US07031,7031,ZCTA5 07031,6155,220,71750,15562
8600000US07032,7032,ZCTA5 07032,13691,364,63093,4585
8600000US07033,7033,ZCTA5 07033,2679,167,100680,9139
8600000US07034,7034,ZCTA5 07034,3447,169,83311,6838
8600000US07035,7035,ZCTA5 07035,3887,202,81871,5794
8600000US07036,7036,ZCTA5 07036,15088,349,62491,2986
8600000US07039,7039,ZCTA5 07039,9517,273,137665,8937
8600000US07040,7040,ZCTA5 07040,8034,287,116014,9149
8600000US07041,7041,ZCTA5 07041,2570,135,100950,13337
8600000US07042,7042,ZCTA5 07042,9980,308,80852,5696
8600000US07043,7043,ZCTA5 07043,4324,143,163458,13333
8600000US07044,7044,ZCTA5 07044,5424,177,100366,8110
8600000US07045,7045,ZCTA5 07045,3476,185,118286,12966
8600000US07046,7046,ZCTA5 07046,1306,66,164773,40137
8600000US07047,7047,ZCTA5 07047,21968,705,54365,3845
8600000US07050,7050,ZCTA5 07050,11326,483,32526,2326
8600000US07052,7052,ZCTA5 07052,16202,380,90251,4366
8600000US07054,7054,ZCTA5 07054,11108,287,76359,6043
8600000US07055,7055,ZCTA5 07055,20095,631,32983,1875
8600000US07057,7057,ZCTA5 07057,4589,210,53502,5646
8600000US07058,7058,ZCTA5 07058,1985,136,111076,18564
8600000US07059,7059,ZCTA5 07059,4999,162,144233,11616
8600000US07060,7060,ZCTA5 07060,13866,405,55055,4521
8600000US07062,7062,ZCTA5 07062,3972,249,66250,6926
8600000US07063,7063,ZCTA5 07063,3876,203,65564,6417
8600000US07064,7064,ZCTA5 07064,1279,124,71995,9465
8600000US07065,7065,ZCTA5 07065,10577,334,59076,3242
8600000US07066,7066,ZCTA5 07066,5475,214,91295,11231
8600000US07067,7067,ZCTA5 07067,5964,162,87432,3959
8600000US07068,7068,ZCTA5 07068,2404,129,108421,18196
8600000US07069,7069,ZCTA5 07069,2159,125,106563,21677
8600000US07070,7070,ZCTA5 07070,6856,237,82385,5464
8600000US07071,7071,ZCTA5 07071,8062,382,71848,4782
8600000US07072,7072,ZCTA5 07072,2147,216,71847,15043
8600000US07073,7073,ZCTA5 07073,3976,235,70934,7740
8600000US07074,7074,ZCTA5 07074,1013,72,63438,15431
8600000US07075,7075,ZCTA5 07075,3019,213,97006,3952
8600000US07076,7076,ZCTA5 07076,8445,237,112220,6800
8600000US07077,7077,ZCTA5 07077,837,84,80125,21168
8600000US07078,7078,ZCTA5 07078,3990,150,235172,16347
8600000US07079,7079,ZCTA5 07079,5289,230,121213,11921
8600000US07080,7080,ZCTA5 07080,8035,213,90880,5681
8600000US07081,7081,ZCTA5 07081,7045,284,100461,7576
8600000US07082,7082,ZCTA5 07082,1767,135,121213,22493
8600000US07083,7083,ZCTA5 07083,19058,412,75918,3733
8600000US07086,7086,ZCTA5 07086,5398,346,72874,5814
8600000US07087,7087,ZCTA5 07087,22866,599,41106,2094
8600000US07088,7088,ZCTA5 07088,1291,142,42790,15543
8600000US07090,7090,ZCTA5 07090,10357,271,137867,7024
8600000US07092,7092,ZCTA5 07092,2322,142,146389,24710
8600000US07093,7093,ZCTA5 07093,23558,610,46987,2981
8600000US07094,7094,ZCTA5 07094,6546,251,84626,6065
8600000US07095,7095,ZCTA5 07095,7436,282,84110,5373
8600000US07102,7102,ZCTA5 07102,4491,227,25350,4120
8600000US07103,7103,ZCTA5 07103,10247,338,28176,2087
8600000US07104,7104,ZCTA5 07104,17521,386,34727,2044
8600000US07105,7105,ZCTA5 07105,15884,367,42552,1641
8600000US07106,7106,ZCTA5 07106,10679,376,37451,3259
8600000US07107,7107,ZCTA5 07107,12164,377,32662,2590
8600000US07108,7108,ZCTA5 07108,7499,318,26835,3509
8600000US07109,7109,ZCTA5 07109,13153,487,65710,2179
8600000US07110,7110,ZCTA5 07110,11183,312,85035,5586
8600000US07111,7111,ZCTA5 07111,20414,624,38165,3019
