Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US00601,601,ZCTA5 00601,5820,223,10833,1531
8600000US00602,602,ZCTA5 00602,13046,404,16353,977
8600000US00603,603,ZCTA5 00603,18020,490,16323,872
8600000US00606,606,ZCTA5 00606,1898,156,14138,2157
8600000US00610,610,ZCTA5 00610,9449,302,17265,1065
8600000US00612,612,ZCTA5 00612,23463,683,17752,783
8600000US00616,616,ZCTA5 00616,3660,286,15115,2164
8600000US00617,617,ZCTA5 00617,8308,355,15461,1514
8600000US00622,622,ZCTA5 00622,2361,288,14993,3916
8600000US00623,623,ZCTA5 00623,14104,563,17044,1186
8600000US00624,624,ZCTA5 00624,8038,221,15467,1368
8600000US00627,627,ZCTA5 00627,11543,348,19490,1493
8600000US00631,631,ZCTA5 00631,627,103,9613,3565
8600000US00637,637,ZCTA5 00637,7128,330,14977,1438
8600000US00638,638,ZCTA5 00638,5810,237,12588,1098
8600000US00641,641,ZCTA5 00641,9802,289,15542,953
8600000US00646,646,ZCTA5 00646,12451,397,27924,2746
8600000US00647,647,ZCTA5 00647,1695,157,13668,1742
8600000US00650,650,ZCTA5 00650,4853,266,15090,1881
8600000US00652,652,ZCTA5 00652,1376,206,14903,5815
8600000US00653,653,ZCTA5 00653,3876,224,13596,1249
8600000US00656,656,ZCTA5 00656,6552,221,15440,1343
8600000US00659,659,ZCTA5 00659,13982,422,19130,1225
8600000US00660,660,ZCTA5 00660,6444,240,21323,1848
8600000US00662,662,ZCTA5 00662,14862,430,16050,824
8600000US00664,664,ZCTA5 00664,4748,265,15976,1931
8600000US00667,667,ZCTA5 00667,8482,392,13527,1343
8600000US00669,669,ZCTA5 00669,9810,307,11967,822
8600000US00670,670,ZCTA5 00670,3128,177,14989,2037
8600000US00674,674,ZCTA5 00674,16096,458,18796,1174
8600000US00676,676,ZCTA5 00676,11862,434,15277,1326
8600000US00677,677,ZCTA5 00677,5767,309,16737,1141
8600000US00678,678,ZCTA5 00678,9448,297,14824,1313
8600000US00680,680,ZCTA5 00680,19683,486,15173,786
8600000US00682,682,ZCTA5 00682,11363,475,15868,1230
8600000US00683,683,ZCTA5 00683,11726,337,15030,1143
8600000US00685,685,ZCTA5 00685,13376,446,14686,974
8600000US00687,687,ZCTA5 00687,9716,315,16086,1471
8600000US00688,688,ZCTA5 00688,4186,271,14135,1479
8600000US00690,690,ZCTA5 00690,2044,211,19688,2441
8600000US00692,692,ZCTA5 00692,11529,391,18003,1235
8600000US00693,693,ZCTA5 00693,17717,531,16709,858
8600000US00694,694,ZCTA5 00694,79,49,11250,3634
8600000US00698,698,ZCTA5 00698,10729,370,15414,895
8600000US00703,703,ZCTA5 00703,8996,304,14968,1267
8600000US00704,704,ZCTA5 00704,2992,340,12341,1760
8600000US00705,705,ZCTA5 00705,8581,256,16744,1473
8600000US00707,707,ZCTA5 00707,4075,254,17866,2534
8600000US00714,714,ZCTA5 00714,6237,293,15901,1490
8600000US00715,715,ZCTA5 00715,1270,186,13534,1948
8600000US00716,716,ZCTA5 00716,11939,499,18609,1422
8600000US00717,717,ZCTA5 00717,7177,305,11692,1067
8600000US00718,718,ZCTA5 00718,8737,420,18247,1637
8600000US00719,719,ZCTA5 00719,8689,303,17592,1503
8600000US00720,720,ZCTA5 00720,6890,225,14578,1272
8600000US00723,723,ZCTA5 00723,6431,264,14343,1311
8600000US00725,725,ZCTA5 00725,31095,581,20704,939
8600000US00727,727,ZCTA5 00727,20329,520,29304,1267
8600000US00728,728,ZCTA5 00728,13680,487,17689,1175
8600000US00729,729,ZCTA5 00729,16515,426,21243,1207
8600000US00730,730,ZCTA5 00730,13050,478,15459,1205
8600000US00731,731,ZCTA5 00731,4684,281,15894,1842
8600000US00735,735,ZCTA5 00735,4607,269,20450,2546
8600000US00736,736,ZCTA5 00736,17444,382,21023,1230
8600000US00738,738,ZCTA5 00738,12153,418,20917,1746
8600000US00739,739,ZCTA5 00739,12459,304,23629,1267
8600000US00740,740,ZCTA5 00740,548,132,13077,5044
8600000US00741,741,ZCTA5 00741,1667,164,19237,2971
8600000US00745,745,ZCTA5 00745,17107,513,22694,1749
8600000US00751,751,ZCTA5 00751,8329,322,14236,1558
8600000US00754,754,ZCTA5 00754,13200,367,17192,1150
8600000US00757,757,ZCTA5 00757,7848,270,16344,1598
8600000US00765,765,ZCTA5 00765,2721,224,18297,3330
8600000US00766,766,ZCTA5 00766,8058,256,17210,1064
8600000US00767,767,ZCTA5 00767,12105,383,16664,1488
8600000US00769,769,ZCTA5 00769,13411,292,18053,1054
8600000US00771,771,ZCTA5 00771,12277,406,19869,2051
8600000US00772,772,ZCTA5 00772,6941,268,16118,1079
8600000US00773,773,ZCTA5 00773,6795,284,18256,1643
8600000US00775,775,ZCTA5 00775,486,67,18167,3907
8600000US00777,777,ZCTA5 00777,13096,413,19398,1364
8600000US00778,778,ZCTA5 00778,14923,386,27872,2564
8600000US00780,780,ZCTA5 00780,4447,375,22197,2255
8600000US00782,782,ZCTA5 00782,5829,222,13472,1628
8600000US00783,783,ZCTA5 00783,10812,327,16860,1449
8600000US00784,784,ZCTA5 00784,15022,412,17048,1126
8600000US00786,786,ZCTA5 00786,146,52,21167,5736
8600000US00791,791,ZCTA5 00791,17018,533,20357,1238
8600000US00794,794,ZCTA5 00794,9347,282,14998,1310
8600000US00795,795,ZCTA5 00795,15706,351,18890,945
8600000US00901,901,ZCTA5 00901,2701,213,17256,3511
8600000US00906,906,ZCTA5 00906,28,26,33056,4876
8600000US00907,907,ZCTA5 00907,8795,418,30994,2615
8600000US00909,909,ZCTA5 00909,2696,236,16309,1797
8600000US00911,911,ZCTA5 00911,3854,264,28132,6254
8600000US00912,912,ZCTA5 00912,2462,199,19781,3678
8600000US00913,913,ZCTA5 00913,3289,274,6809,1777
8600000US00915,915,ZCTA5 00915,11871,452,13773,847
8600000US00917,917,ZCTA5 00917,8175,380,15458,1262
8600000US00918,918,ZCTA5 00918,7774,468,24712,3079
8600000US00920,920,ZCTA5 00920,7523,349,26157,1441
8600000US00921,921,ZCTA5 00921,14170,583,19263,1494
8600000US00923,923,ZCTA5 00923,10723,468,15633,911
8600000US00924,924,ZCTA5 00924,19996,656,19142,1511
8600000US00925,925,ZCTA5 00925,3019,278,11794,1251
8600000US00926,926,ZCTA5 00926,38189,781,35140,2051
8600000US00927,927,ZCTA5 00927,6044,294,33758,4053
8600000US00934,934,ZCTA5 00934,77,49,83264,27687
8600000US00936,936,ZCTA5 00936,0,13,-,**
8600000US00949,949,ZCTA5 00949,27166,594,24961,1030
8600000US00950,950,ZCTA5 00950,0,13,-,**
8600000US00951,951,ZCTA5 00951,15,12,-,**
8600000US00952,952,ZCTA5 00952,3179,268,18499,2358
8600000US00953,953,ZCTA5 00953,22120,473,29406,1539
8600000US00956,956,ZCTA5 00956,26543,532,23125,986
8600000US00957,957,ZCTA5 00957,15441,497,23643,1337
8600000US00959,959,ZCTA5 00959,18959,550,26754,1980
8600000US00960,960,ZCTA5 00960,0,13,-,**
8600000US00961,961,ZCTA5 00961,11506,496,29169,2437
8600000US00962,962,ZCTA5 00962,7353,261,16289,943
8600000US00965,965,ZCTA5 00965,3120,258,16135,1981
8600000US00966,966,ZCTA5 00966,6214,319,53052,4451
8600000US00968,968,ZCTA5 00968,1908,143,42036,5322
8600000US00969,969,ZCTA5 00969,15483,492,51285,3152
8600000US00971,971,ZCTA5 00971,10535,458,23338,2513
8600000US00976,976,ZCTA5 00976,21298,488,29736,1604
8600000US00979,979,ZCTA5 00979,7672,449,38187,3177
8600000US00982,982,ZCTA5 00982,5898,316,26370,1949
8600000US00983,983,ZCTA5 00983,14694,573,27834,1595
8600000US00985,985,ZCTA5 00985,12930,422,24514,1328
8600000US00987,987,ZCTA5 00987,20982,550,31599,1432
8600000US01001,1001,ZCTA5 01001,7000,264,60775,7022
8600000US01002,1002,ZCTA5 01002,9494,646,55082,5750
8600000US01003,1003,ZCTA5 01003,16,18,-,**
8600000US01005,1005,ZCTA5 01005,1835,166,68361,9320
8600000US01007,1007,ZCTA5 01007,5730,214,74221,7748
8600000US01008,1008,ZCTA5 01008,493,54,71979,7245
8600000US01009,1009,ZCTA5 01009,262,94,40929,9858
8600000US01010,1010,ZCTA5 01010,1504,128,82365,18054
8600000US01011,1011,ZCTA5 01011,551,58,65324,5748
8600000US01012,1012,ZCTA5 01012,223,35,56146,11936
8600000US01013,1013,ZCTA5 01013,9131,279,41342,2655
8600000US01020,1020,ZCTA5 01020,12520,420,52236,4038
8600000US01022,1022,ZCTA5 01022,1270,129,60353,8995
8600000US01026,1026,ZCTA5 01026,459,46,51213,3214
8600000US01027,1027,ZCTA5 01027,7968,256,58551,5303
8600000US01028,1028,ZCTA5 01028,6033,187,84173,7593
8600000US01029,1029,ZCTA5 01029,311,55,52566,11014
8600000US01030,1030,ZCTA5 01030,4495,214,68326,9906
8600000US01031,1031,ZCTA5 01031,568,77,43583,6472
8600000US01032,1032,ZCTA5 01032,258,42,65000,16346
8600000US01033,1033,ZCTA5 01033,2389,135,79647,8465
8600000US01034,1034,ZCTA5 01034,781,64,77448,3802
8600000US01035,1035,ZCTA5 01035,2162,157,74737,9919
8600000US01036,1036,ZCTA5 01036,1873,95,79639,6412
8600000US01037,1037,ZCTA5 01037,262,50,91471,32291
8600000US01038,1038,ZCTA5 01038,1259,91,65536,14638
8600000US01039,1039,ZCTA5 01039,616,69,68500,15607
8600000US01040,1040,ZCTA5 01040,15599,423,35550,2700
8600000US01050,1050,ZCTA5 01050,953,88,52813,14829
8600000US01053,1053,ZCTA5 01053,575,82,59850,18123
8600000US01054,1054,ZCTA5 01054,786,47,78125,9534
8600000US01056,1056,ZCTA5 01056,8228,214,61410,4384
8600000US01057,1057,ZCTA5 01057,3480,176,66343,7586
8600000US01060,1060,ZCTA5 01060,6589,219,53427,5629
8600000US01062,1062,ZCTA5 01062,4473,227,64727,6301
8600000US01063,1063,ZCTA5 01063,0,12,-,**
8600000US01066,1066,ZCTA5 01066,10,16,-,**
8600000US01068,1068,ZCTA5 01068,640,50,80577,6320
8600000US01069,1069,ZCTA5 01069,3430,215,54412,4597
8600000US01070,1070,ZCTA5 01070,247,31,57031,6670
8600000US01071,1071,ZCTA5 01071,551,71,74688,6734
8600000US01072,1072,ZCTA5 01072,629,62,68203,9042
8600000US01073,1073,ZCTA5 01073,2350,162,68693,13561
8600000US01074,1074,ZCTA5 01074,108,69,58140,23426
8600000US01075,1075,ZCTA5 01075,7039,270,62408,4081
8600000US01077,1077,ZCTA5 01077,3593,154,81967,3760
8600000US01079,1079,ZCTA5 01079,248,88,43654,36301
8600000US01080,1080,ZCTA5 01080,936,96,42794,11222
8600000US01081,1081,ZCTA5 01081,715,74,52768,8302
8600000US01082,1082,ZCTA5 01082,4367,198,52709,5314
8600000US01083,1083,ZCTA5 01083,1210,186,37126,8958
8600000US01084,1084,ZCTA5 01084,95,21,49886,11616
8600000US01085,1085,ZCTA5 01085,15213,445,61211,2692
8600000US01086,1086,ZCTA5 01086,0,12,-,**
8600000US01088,1088,ZCTA5 01088,304,91,41875,22937
8600000US01089,1089,ZCTA5 01089,11400,380,52806,4545
8600000US01092,1092,ZCTA5 01092,476,142,48679,18358
8600000US01093,1093,ZCTA5 01093,130,37,82222,23359
8600000US01094,1094,ZCTA5 01094,168,65,19028,20784
8600000US01095,1095,ZCTA5 01095,5410,286,86908,8977
8600000US01096,1096,ZCTA5 01096,992,71,70438,7781
8600000US01097,1097,ZCTA5 01097,14,15,40556,20391
8600000US01098,1098,ZCTA5 01098,518,54,71500,3585
8600000US01103,1103,ZCTA5 01103,1481,108,13666,2848
8600000US01104,1104,ZCTA5 01104,8872,307,29184,2608
8600000US01105,1105,ZCTA5 01105,4969,258,17657,2158
8600000US01106,1106,ZCTA5 01106,5850,215,106296,9588
8600000US01107,1107,ZCTA5 01107,4005,236,22287,3313
8600000US01108,1108,ZCTA5 01108,9620,340,35238,1985
8600000US01109,1109,ZCTA5 01109,9391,339,32644,2740
8600000US01118,1118,ZCTA5 01118,5552,209,65231,4887
8600000US01119,1119,ZCTA5 01119,4904,243,47417,4395
8600000US01128,1128,ZCTA5 01128,989,92,74963,8154
8600000US01129,1129,ZCTA5 01129,2827,123,62280,2111
8600000US01151,1151,ZCTA5 01151,3395,156,34280,5468
8600000US01199,1199,ZCTA5 01199,0,12,-,**
8600000US01201,1201,ZCTA5 01201,20171,444,44120,2722
8600000US01220,1220,ZCTA5 01220,3821,153,41950,2646
8600000US01222,1222,ZCTA5 01222,367,77,78080,11200
8600000US01223,1223,ZCTA5 01223,1035,79,65033,5095
8600000US01224,1224,ZCTA5 01224,101,37,37112,41082
8600000US01225,1225,ZCTA5 01225,1292,109,58007,10778
8600000US01226,1226,ZCTA5 01226,2802,166,48320,9563
8600000US01229,1229,ZCTA5 01229,58,29,34250,75486
8600000US01230,1230,ZCTA5 01230,3209,261,53180,4353
8600000US01235,1235,ZCTA5 01235,1191,82,64507,4869
8600000US01236,1236,ZCTA5 01236,574,121,62917,26760
8600000US01237,1237,ZCTA5 01237,944,82,76346,15929
8600000US01238,1238,ZCTA5 01238,2599,204,61492,10555
8600000US01240,1240,ZCTA5 01240,2256,183,51396,15571
8600000US01242,1242,ZCTA5 01242,106,52,55333,24536
8600000US01243,1243,ZCTA5 01243,181,37,73750,41166
8600000US01244,1244,ZCTA5 01244,69,34,27639,28175
8600000US01245,1245,ZCTA5 01245,348,57,53833,11472
8600000US01247,1247,ZCTA5 01247,7072,298,39636,2733
8600000US01253,1253,ZCTA5 01253,284,42,66250,15622
8600000US01254,1254,ZCTA5 01254,456,54,83750,24065
8600000US01255,1255,ZCTA5 01255,358,42,56250,14506
8600000US01256,1256,ZCTA5 01256,300,45,57222,10192
8600000US01257,1257,ZCTA5 01257,940,89,46917,6601
8600000US01258,1258,ZCTA5 01258,179,46,64250,20720
8600000US01259,1259,ZCTA5 01259,250,49,61500,19752
8600000US01260,1260,ZCTA5 01260,92,55,47250,29034
8600000US01262,1262,ZCTA5 01262,611,76,47250,9155
8600000US01264,1264,ZCTA5 01264,65,16,90625,32986
8600000US01266,1266,ZCTA5 01266,682,67,78333,18069
8600000US01267,1267,ZCTA5 01267,2478,162,74167,7284
8600000US01270,1270,ZCTA5 01270,310,35,69444,8461
8600000US01301,1301,ZCTA5 01301,7828,203,48612,2746
8600000US01330,1330,ZCTA5 01330,671,62,77411,10939
8600000US01331,1331,ZCTA5 01331,5337,265,51002,4871
8600000US01337,1337,ZCTA5 01337,1158,58,62037,6459
8600000US01338,1338,ZCTA5 01338,81,19,71691,15553
8600000US01339,1339,ZCTA5 01339,671,74,51908,6609
8600000US01340,1340,ZCTA5 01340,710,65,46210,4437
8600000US01341,1341,ZCTA5 01341,660,53,79286,12873
8600000US01342,1342,ZCTA5 01342,533,103,101863,36154
8600000US01343,1343,ZCTA5 01343,38,21,81667,12917
8600000US01344,1344,ZCTA5 01344,628,46,59722,7806
8600000US01346,1346,ZCTA5 01346,207,33,58906,9369
8600000US01347,1347,ZCTA5 01347,56,31,38000,15756
8600000US01349,1349,ZCTA5 01349,423,73,54727,18188
8600000US01350,1350,ZCTA5 01350,66,19,32083,21368
8600000US01351,1351,ZCTA5 01351,914,98,71587,9550
8600000US01354,1354,ZCTA5 01354,562,43,75776,5024
8600000US01355,1355,ZCTA5 01355,410,46,75000,8993
8600000US01360,1360,ZCTA5 01360,1255,69,60721,6020
8600000US01364,1364,ZCTA5 01364,3276,136,41994,5693
8600000US01366,1366,ZCTA5 01366,520,56,72917,16207
8600000US01367,1367,ZCTA5 01367,229,34,49792,7750
8600000US01368,1368,ZCTA5 01368,475,59,60568,11364
8600000US01370,1370,ZCTA5 01370,1786,82,53300,5755
8600000US01373,1373,ZCTA5 01373,1929,188,67465,11385
8600000US01375,1375,ZCTA5 01375,1471,118,50417,12920
8600000US01376,1376,ZCTA5 01376,2364,176,41250,6359
8600000US01378,1378,ZCTA5 01378,350,34,55278,4368
8600000US01379,1379,ZCTA5 01379,409,61,38750,7912
8600000US01420,1420,ZCTA5 01420,14782,525,46628,3236
8600000US01430,1430,ZCTA5 01430,2235,183,85662,8976
8600000US01431,1431,ZCTA5 01431,1073,64,83917,7096
8600000US01432,1432,ZCTA5 01432,3181,166,66630,7990
8600000US01434,1434,ZCTA5 01434,144,66,97222,30402
8600000US01436,1436,ZCTA5 01436,1342,183,70313,11194
8600000US01438,1438,ZCTA5 01438,192,121,61803,33451
8600000US01440,1440,ZCTA5 01440,8146,286,46464,5107
8600000US01450,1450,ZCTA5 01450,4014,145,116686,6766
8600000US01451,1451,ZCTA5 01451,1706,139,135357,15424
8600000US01452,1452,ZCTA5 01452,1558,78,83438,13867
8600000US01453,1453,ZCTA5 01453,16763,434,59248,2666
8600000US01460,1460,ZCTA5 01460,3346,123,111652,8130
8600000US01462,1462,ZCTA5 01462,4247,171,71055,9094
8600000US01463,1463,ZCTA5 01463,4203,164,77767,5522
8600000US01464,1464,ZCTA5 01464,2283,470,66453,11636
8600000US01467,1467,ZCTA5 01467,109,53,184107,53243
8600000US01468,1468,ZCTA5 01468,1460,197,70455,20512
8600000US01469,1469,ZCTA5 01469,2575,135,81024,5900
8600000US01473,1473,ZCTA5 01473,2836,117,87273,12409
8600000US01474,1474,ZCTA5 01474,713,119,95587,12171
8600000US01475,1475,ZCTA5 01475,4025,170,59332,8237
8600000US01501,1501,ZCTA5 01501,6262,210,73105,5260
8600000US01503,1503,ZCTA5 01503,1052,57,88681,8355
8600000US01504,1504,ZCTA5 01504,3451,152,72699,4987
8600000US01505,1505,ZCTA5 01505,1611,85,102422,11981
8600000US01506,1506,ZCTA5 01506,1368,82,63889,6712
8600000US01507,1507,ZCTA5 01507,4617,187,91287,6997
8600000US01510,1510,ZCTA5 01510,5777,226,64867,8269
8600000US01515,1515,ZCTA5 01515,833,49,71020,8961
8600000US01516,1516,ZCTA5 01516,3124,186,84390,6503
8600000US01518,1518,ZCTA5 01518,1062,159,48676,14840
8600000US01519,1519,ZCTA5 01519,2463,147,101205,12727
8600000US01520,1520,ZCTA5 01520,5149,165,98979,4656
8600000US01521,1521,ZCTA5 01521,1052,64,64868,11740
8600000US01522,1522,ZCTA5 01522,1140,104,94531,6575
8600000US01523,1523,ZCTA5 01523,2266,201,89808,20570
8600000US01524,1524,ZCTA5 01524,2636,147,65225,5634
8600000US01525,1525,ZCTA5 01525,103,64,47238,2556
8600000US01527,1527,ZCTA5 01527,5141,236,71676,9352
8600000US01529,1529,ZCTA5 01529,1056,64,88281,14543
8600000US01531,1531,ZCTA5 01531,376,36,81136,9024
8600000US01532,1532,ZCTA5 01532,5156,156,107111,9344
8600000US01534,1534,ZCTA5 01534,2075,153,82950,12238
8600000US01535,1535,ZCTA5 01535,1815,107,58438,18297
8600000US01536,1536,ZCTA5 01536,2622,153,72292,8324
8600000US01537,1537,ZCTA5 01537,899,168,75183,8247
8600000US01540,1540,ZCTA5 01540,4231,261,67126,6549
8600000US01541,1541,ZCTA5 01541,1234,78,114688,19044
8600000US01542,1542,ZCTA5 01542,685,142,76979,9816
8600000US01543,1543,ZCTA5 01543,2843,181,91033,13451
8600000US01545,1545,ZCTA5 01545,12934,313,97617,4976
8600000US01550,1550,ZCTA5 01550,6642,292,42376,4442
8600000US01560,1560,ZCTA5 01560,1648,111,78250,8202
8600000US01561,1561,ZCTA5 01561,52,49,19597,51449
8600000US01562,1562,ZCTA5 01562,4662,252,60943,8732
8600000US01564,1564,ZCTA5 01564,2800,147,90455,18466
8600000US01566,1566,ZCTA5 01566,2516,163,93776,15965
8600000US01568,1568,ZCTA5 01568,2634,120,110781,10047
8600000US01569,1569,ZCTA5 01569,4837,258,88125,9395
8600000US01570,1570,ZCTA5 01570,6734,285,48650,5041
8600000US01571,1571,ZCTA5 01571,4135,243,68053,8859
8600000US01581,1581,ZCTA5 01581,7085,266,100552,8405
8600000US01583,1583,ZCTA5 01583,2177,257,73474,4837
8600000US01585,1585,ZCTA5 01585,1880,162,60521,16728
8600000US01588,1588,ZCTA5 01588,3650,258,66591,8898
8600000US01590,1590,ZCTA5 01590,3081,150,111788,6176
8600000US01602,1602,ZCTA5 01602,9172,346,62888,3540
8600000US01603,1603,ZCTA5 01603,7026,303,46367,3387
8600000US01604,1604,ZCTA5 01604,14057,422,47865,2331
8600000US01605,1605,ZCTA5 01605,10516,385,36497,3959
8600000US01606,1606,ZCTA5 01606,7796,286,66411,8623
8600000US01607,1607,ZCTA5 01607,3598,232,42397,7022
8600000US01608,1608,ZCTA5 01608,1429,186,21412,4052
8600000US01609,1609,ZCTA5 01609,7101,352,41647,4525
8600000US01610,1610,ZCTA5 01610,7459,355,31136,2111
8600000US01611,1611,ZCTA5 01611,919,142,64598,30399
8600000US01612,1612,ZCTA5 01612,1523,106,102614,19991
8600000US01701,1701,ZCTA5 01701,12342,259,88498,4583
8600000US01702,1702,ZCTA5 01702,14414,357,52428,2905
8600000US01718,1718,ZCTA5 01718,144,46,135179,35338
8600000US01719,1719,ZCTA5 01719,2101,91,103996,8044
8600000US01720,1720,ZCTA5 01720,8301,236,119342,11631
8600000US01721,1721,ZCTA5 01721,6560,201,102721,9949
8600000US01730,1730,ZCTA5 01730,5012,199,114676,18191
8600000US01731,1731,ZCTA5 01731,499,59,79063,16918
8600000US01740,1740,ZCTA5 01740,1622,77,144461,9318
8600000US01741,1741,ZCTA5 01741,1724,68,157500,17658
8600000US01742,1742,ZCTA5 01742,6778,255,132736,12895
8600000US01745,1745,ZCTA5 01745,130,40,117955,44319
8600000US01746,1746,ZCTA5 01746,5028,167,108350,4871
8600000US01747,1747,ZCTA5 01747,2240,121,99886,15378
8600000US01748,1748,ZCTA5 01748,5219,152,128267,10288
8600000US01749,1749,ZCTA5 01749,7657,217,74082,4900
8600000US01752,1752,ZCTA5 01752,15740,525,71424,2315
8600000US01754,1754,ZCTA5 01754,4257,211,79252,9307
8600000US01756,1756,ZCTA5 01756,2045,100,112104,14047
8600000US01757,1757,ZCTA5 01757,10752,358,68784,6689
8600000US01760,1760,ZCTA5 01760,13958,325,99172,4717
8600000US01770,1770,ZCTA5 01770,1441,61,155564,19359
8600000US01772,1772,ZCTA5 01772,3166,143,155952,19325
8600000US01773,1773,ZCTA5 01773,2003,129,143897,18946
8600000US01775,1775,ZCTA5 01775,2460,104,131500,22912
8600000US01776,1776,ZCTA5 01776,6011,172,169505,6790
8600000US01778,1778,ZCTA5 01778,5207,160,141083,14287
8600000US01801,1801,ZCTA5 01801,15176,391,79034,5200
8600000US01803,1803,ZCTA5 01803,9423,253,95465,6949
8600000US01810,1810,ZCTA5 01810,12079,292,125321,6628
8600000US01821,1821,ZCTA5 01821,11209,363,91605,4495
8600000US01824,1824,ZCTA5 01824,9854,235,103411,6021
8600000US01826,1826,ZCTA5 01826,10957,400,76879,8054
8600000US01827,1827,ZCTA5 01827,1140,52,116125,9933
8600000US01830,1830,ZCTA5 01830,10066,274,55237,3413
8600000US01832,1832,ZCTA5 01832,8389,281,60351,4405
8600000US01833,1833,ZCTA5 01833,2970,115,106898,8804
8600000US01834,1834,ZCTA5 01834,2406,102,92898,6384
8600000US01835,1835,ZCTA5 01835,5074,189,74156,3488
8600000US01840,1840,ZCTA5 01840,2176,146,18140,4270
8600000US01841,1841,ZCTA5 01841,15155,363,32367,1665
8600000US01843,1843,ZCTA5 01843,8997,257,43920,3116
8600000US01844,1844,ZCTA5 01844,17584,370,68587,3197
8600000US01845,1845,ZCTA5 01845,10609,289,100544,7522
8600000US01850,1850,ZCTA5 01850,5501,259,51556,4036
8600000US01851,1851,ZCTA5 01851,10160,263,52031,3606
8600000US01852,1852,ZCTA5 01852,13357,398,48690,3811
8600000US01854,1854,ZCTA5 01854,9632,299,42948,5084
8600000US01860,1860,ZCTA5 01860,2516,167,80508,9590
8600000US01862,1862,ZCTA5 01862,3501,216,98305,9499
8600000US01863,1863,ZCTA5 01863,3984,133,74695,8142
8600000US01864,1864,ZCTA5 01864,5424,242,112419,11785
8600000US01867,1867,ZCTA5 01867,9032,330,104472,6145
8600000US01876,1876,ZCTA5 01876,10878,273,88794,6001
8600000US01879,1879,ZCTA5 01879,4114,146,93108,13846
8600000US01880,1880,ZCTA5 01880,9798,325,85694,4333
8600000US01886,1886,ZCTA5 01886,7738,186,125143,10132
8600000US01887,1887,ZCTA5 01887,7585,215,100536,5230
8600000US01890,1890,ZCTA5 01890,7564,164,141829,10007
8600000US01901,1901,ZCTA5 01901,978,175,22614,2610
8600000US01902,1902,ZCTA5 01902,16623,420,37786,2527
8600000US01904,1904,ZCTA5 01904,6640,262,81258,4686
8600000US01905,1905,ZCTA5 01905,8503,200,47694,4270
8600000US01906,1906,ZCTA5 01906,10345,345,76141,3681
8600000US01907,1907,ZCTA5 01907,5541,227,96510,6753
8600000US01908,1908,ZCTA5 01908,1593,108,65083,7895
8600000US01913,1913,ZCTA5 01913,6812,248,76463,4969
8600000US01915,1915,ZCTA5 01915,15925,477,73980,2875
8600000US01921,1921,ZCTA5 01921,2671,138,127813,20737
8600000US01922,1922,ZCTA5 01922,945,127,111806,20059
8600000US01923,1923,ZCTA5 01923,10330,312,77404,4697
8600000US01929,1929,ZCTA5 01929,1401,82,89185,12494
8600000US01930,1930,ZCTA5 01930,12201,348,60229,3072
8600000US01937,1937,ZCTA5 01937,0,12,-,**
8600000US01938,1938,ZCTA5 01938,5679,197,77901,5769
8600000US01940,1940,ZCTA5 01940,4684,164,109099,6685
8600000US01944,1944,ZCTA5 01944,2108,140,89313,27843
8600000US01945,1945,ZCTA5 01945,8127,188,100709,8356
8600000US01949,1949,ZCTA5 01949,2643,334,105646,10554
8600000US01950,1950,ZCTA5 01950,7395,264,83149,7068
8600000US01951,1951,ZCTA5 01951,1732,153,90969,15622
8600000US01952,1952,ZCTA5 01952,3297,152,75995,6687
8600000US01960,1960,ZCTA5 01960,21458,534,62137,2806
8600000US01966,1966,ZCTA5 01966,3199,176,70288,10346
8600000US01969,1969,ZCTA5 01969,2203,108,85994,9863
8600000US01970,1970,ZCTA5 01970,18117,505,58937,2820
8600000US01982,1982,ZCTA5 01982,2838,116,108558,17023
8600000US01983,1983,ZCTA5 01983,2175,103,121157,22285
8600000US01984,1984,ZCTA5 01984,1363,102,116875,19086
8600000US01985,1985,ZCTA5 01985,1502,99,122969,15691
8600000US02019,2019,ZCTA5 02019,6162,211,87417,6664
8600000US02021,2021,ZCTA5 02021,8873,275,90878,6603
8600000US02025,2025,ZCTA5 02025,2900,139,117679,17236
8600000US02026,2026,ZCTA5 02026,9710,292,85558,5597
8600000US02030,2030,ZCTA5 02030,1909,90,176250,31560
8600000US02032,2032,ZCTA5 02032,1558,155,81513,13214
8600000US02035,2035,ZCTA5 02035,6403,230,94538,6434
8600000US02038,2038,ZCTA5 02038,10992,264,101980,6900
8600000US02043,2043,ZCTA5 02043,8375,226,103350,8323
8600000US02045,2045,ZCTA5 02045,4766,191,77440,6951
8600000US02047,2047,ZCTA5 02047,62,83,-,**
8600000US02048,2048,ZCTA5 02048,8223,219,93082,8628
8600000US02050,2050,ZCTA5 02050,9625,274,88750,9925
8600000US02052,2052,ZCTA5 02052,4106,124,143641,10144
8600000US02053,2053,ZCTA5 02053,4530,188,109841,7859
8600000US02054,2054,ZCTA5 02054,2961,160,96773,17740
8600000US02056,2056,ZCTA5 02056,3185,149,143682,11652
8600000US02061,2061,ZCTA5 02061,3541,110,110671,12362
8600000US02062,2062,ZCTA5 02062,11623,276,79963,6878
8600000US02066,2066,ZCTA5 02066,6595,244,104275,10492
8600000US02067,2067,ZCTA5 02067,6281,178,126773,9685
8600000US02071,2071,ZCTA5 02071,339,116,121635,49375
